,Datum,year,dairy_date,tweet
269,12. Juni,1914,12. Juni 1914,"Kubin. Gelbliches Gesicht, flach über den Schädel gelagertes weniges Haar, von Zeit zu Zeit angestachelter Glanz in den Augen. Wolfskehl, halb blind, Netzhautablösung, muß sich vor Fall oder Stoß hüten, sonst kann die Linse herausfallen, dann ist alles zu Ende."
270,14. Juni,1914,14. Juni 1914,"Mein ruhiger Gang, während es um den Kopf zuckt und ein über den Kopf schwach schleifender Ast mir das ärgste Unbehagen macht. Ich habe die Ruhe, ich habe die Sicherheit anderer Menschen in mir, aber irgendwie am verkehrten Ende."
271,19. Juni,1914,19. Juni 1914,"Die Aufregungen der letzten Tage. Die Ruhe, die von Dr. W. auf mich übergeht. Die Sorgen, die er für mich trägt. Wie sie heute früh, als ich um vier Uhr nach festem Schlafe aufwachte, in mich übersiedelten."
272,25. Juni,1914,25. Juni 1914,"Vom frühen Morgen an bis jetzt zur Dämmerung ging ich in meinem Zimmer auf und ab. Das Fenster war offen, es war ein warmer Tag. Der Lärm der engen Gasse trieb ununterbrochen herein."
273,30. Juni,1914,30. Juni 1914,"Hellerau. Leipzig mit Pick. Ich habe mich schrecklich aufgeführt. Konnte nicht fragen, nicht antworten, nicht mich bewegen, knapp noch in die Augen sehn."
274,1.Juli,1914,1.Juli 1914,Zu müde.
275,5. Juli,1914,5. Juli 1914,Solche Leiden tragen müssen und verursachen!
276,23. Juli,1914,23. Juli 1914,"Der Gerichtshof im Hotel. Die Fahrt in der Droschke. Das Gesicht F.s. Sie fährt mit den Händen in die Haare, gähnt. Rafft sich plötzlich auf und sagt gut Durchdachtes, lange Bewahrtes, Feindseliges."
277,27. Juli,1914,27. Juli 1914,Nächsten Tag zu den Eltern nicht mehr gegangen. Nur Radler mit Abschiedsbrief geschickt. Brief unehrlich und kokett. »Behaltet mich nicht in schlechtem Angedenken.« Ansprache vom Richtplatz. Zweimal in der Schwimmschule am Stralauer Ufer gewesen. Viele Juden.
278,28. Juli,1914,28. Juli 1914,"Verzweifelter erster Eindruck der Einöde, des elenden Hauses, des schlechten Essens ohne Obst und Gemüse, der Streitigkeiten zwischen W. und H. Entschluß, nächsten Tag wegzufahren. Kündigung. Bleibe doch."
279,29. Juli,1914,29. Juli 1914,
280,30. Juli,1914,30. Juli 1914,"Ich hatte, müde des Dienens in fremden Geschäften, ein eigenes kleines Papiergeschäft eröffnet. Da meine Mittel nur klein waren und ich fast alles bar bezahlen mußte... [bricht ab]  Ich suchte Rat, ich war nicht eigensinnig."
281,16. Februar 1914,1914,16. Februar 1914 1914,") sindzweiQuartheften entnommen, in die Kafka seine Notizen alternierend, ohne pedantische Ordnung einschrieb. Der Herausgeber hat die Reihenfolge nach den Angaben des Datums bestimmt, unter denen die einzelnen Absätze eingetragen sind."
282,31. Juli,1914,31. Juli 1914,"die mit den Worten beginnt: »Ich habe keine Zeit«, in dem einen der beiden Hefte unmittelbar an die Eintragung vom"
283,29. Juli,1914,29. Juli 1914,"an, die mit den Worten schließt: »... habe ich Zeit.« Dem Datum (und auch der noch vergleichsweise ruhigen Stimmung) gemäß mußten die Eintragungen vom"
284,30. Juli,1914,30. Juli 1914,aus dem anderen Heft hier zwischengeschoben werden – daher sei hier anmerkungsweise auf den Zusammenhang der Notizen vom
285,29. Juni,1914,29. Juni 1914,und
286,31. Juli,1914,31. Juli 1914,hingewiesen.
287,31. Juli,1914,31. Juli 1914,"Ich habe keine Zeit. Es ist allgemeine Mobilisierung. K. und P. sind einberufen. Jetzt bekomme ich den Lohn des Alleinseins. Es ist allerdings kaum ein Lohn, Alleinsein bringt nur Strafen. Immerhin, ich bin wenig berührt von allem Elend und entschlossener als jemals."
288,1. August,1914,1. August 1914,K. zur Bahn begleitet. Im Bureau die Verwandten rund herum. Lust zu Valli zu fahren.
289,2. August,1914,2. August 1914,Deutschland hat Rußland den Krieg erklärt. – Nachmittag Schwimmschule.
290,3. August,1914,3. August 1914,"Allein in der Wohnung meiner Schwester. Sie liegt tiefer als mein Zimmer, es ist auch eine abseits gelegene Gasse, daher lautes Gerede der Nachbarn unten vor den Türen. Auch Pfeifen. Sonst vollendete Einsamkeit. Keine ersehnte Ehefrau öffnet die Tür."
291,4. August,1914,4. August 1914,"Ich habe dem Hausherrn, als ich die Wohnung für mich mietete, wahrscheinlich ein Schriftstück unterschrieben, in dem ich mich zu einer zweijährigen oder gar sechsjährigen Miete verpflichtet habe. Jetzt stellt er die Forderung aus diesem Vertrag."
292,6. August,1914,6. August 1914,"Die Artillerie, die über den Graben zog. Blumen, Heil- und Nazdarrufe.Tschechisch: Hochrufe.Das krampfhaft stille, erstaunte, aufmerksame schwarze und schwarzäugige Gesicht. Ich bin zerrüttet, statt erholt."
293,7. August,1914,7. August 1914,"Man behandelt, selbst wenn man nicht die geringste sichtbare Fähigkeit zu individualisieren hat, doch jeden nach seiner Art. »L. aus Binz« streckt mir, um auf sich aufmerksam zu machen, den Stock entgegen und erschreckt mich."
294,11. August,1914,11. August 1914,"Vorstellung, daß ich in Paris geblieben bin, Arm in Arm mit dem Onkel, eng an ihn gedrückt durch Paris gehe."
295,12. August,1914,12. August 1914,"Gar nicht geschlafen. Nachmittag drei Stunden schlaflos und dumpf auf dem Kanapee gelegen, in der Nacht ähnlich. Es darf mich aber nicht hindern."
296,15. August,1914,15. August 1914,"Ich schreibe seit ein paar Tagen, möchte es sich halten.Kafka begann damals den ›Prozeß‹-Roman."
297,21. August,1914,21. August 1914,"Mit solchen Hoffnungen angefangen und von allen drei Geschichten zurückgeworfen, heute am stärksten. Vielleicht ist es richtig, daß die russische Geschichte nur immer nach dem ›Prozeß‹ gearbeitet werden durfte."
298,29. August,1914,29. August 1914,"Schluß eines Kapitels mißlungen, ein anderes schön begonnenes Kapitel werde ich kaum, oder vielmehr ganz bestimmt nicht so schön, weiterführen können, während es mir damals in der Nacht sicher gelungen wäre. Ich darf mich aber nicht verlassen, ich bin ganz allein."
299,30. August,1914,30. August 1914,"Kalt und leer. Ich fühle allzusehr die Grenzen meiner Fähigkeit, die, wenn ich nicht vollständig ergriffen bin, zweifellos nur eng gezogen sind."
300,1. September,1914,1. September 1914,"In gänzlicher Hilflosigkeit kaum zwei Seiten geschrieben. Ich bin heute sehr stark zurückgewichen, trotzdem ich gut geschlafen hatte."
301,13. September,1914,13. September 1914,"Wieder kaum zwei Seiten. Zuerst dachte ich, die Traurigkeit über die österreichischen Niederlagen und die Angst vor der Zukunft (eine Angst, die mir im Grunde lächerlich und zugleich infam vorkommt) werden mich überhaupt am Schreiben hindern."
302,7. Oktober,1914,7. Oktober 1914,"Ich habe mir eine Woche Urlaub genommen, um den Roman vorwärtszutreiben. Es ist bis heute – heute ist Mittwochnacht, Montag geht mein Urlaub zu Ende – mißlungen. Ich habe wenig und schwächlich geschrieben."
303,15. Oktober,1914,15. Oktober 1914,"Vierzehn Tage gute Arbeit, zum Teil vollständiges Begreifen meiner Lage. – Heute Donnerstag (Montag ist mein Urlaub zu Ende, ich habe noch eine weitere Woche Urlaub genommen) Brief von Fräulein Bl."
304,25. Oktober,1914,25. Oktober 1914,"auf der Rückseite dieses Blattes steht.......ter Tag des Urlaubs. Halb drei nachts, fast nichts .........tel gelesen und schlecht gefunden. Zweierlei ...........mißlungen. Vor mir liegt das Bureau und ..........der zugrunde gehenden Fabrik."
305,21. Oktober,1914,21. Oktober 1914,"Seit vier Tagen fast nichts gearbeitet, immer nur eine Stunde und nur ein paar Zeilen, aber besser geschlafen, Kopfschmerzen dadurch fast verloren. Keine Antwort von Bl., morgen ist die letzte Möglichkeit."
306,25. Oktober,1914,25. Oktober 1914,"Fast vollständiges Stocken der Arbeit. Das, was geschrieben wird, scheint nichts Selbständiges, sondern der Widerschein guter früherer Arbeit. Antwort von Bl. ist gekommen, ich wegen der Beantwortung vollständig unentschieden."
307,1. November,1914,1. November 1914,"Gestern nach langer Zeit ein gutes Stück vorwärtsgekommen, heute wieder fast nichts, die vierzehn Tage seit meinem Urlaub sind fast gänzlich verloren. Heute teilweise schöner Sonntag. In den Chotekschen Anlagen Dostojewskis Verteidigungsschrift gelesen."
308,3. November,1914,3. November 1914,
309,4. November,1914,4. November 1914,"P. zurück.Schreiend, aufgeregt, außer Rand und Band. Geschichte vom Maulwurf, der im Schützengraben unter ihm bohrte und den er für ein göttliches Zeichen ansah, von dort wegzurücken."
310,12. November,1914,12. November 1914,"Die Eltern, die Dankbarkeit von ihren Kindern erwarten (es gibt sogar solche, die sie fordern), sind wie Wucherer, sie riskieren gern das Kapital, wenn sie nur die Zinsen bekommen."
311,24. November,1914,24. November 1914,"Gestern in der Tuchmachergasse, wo die alte Wäsche und Kleidung an die galizischen Flüchtlinge verteilt wird."
312,25. November,1914,25. November 1914,"Leere Verzweiflung, unmöglich sich aufzustellen, erst bei der Zufriedenheit mit dem Leiden kann ich haltmachen."
313,30. November,1914,30. November 1914,"Ich kann nicht mehr weiterschreiben. Ich bin an der endgültigen Grenze, vor der ich vielleicht wieder jahrelang sitzen soll, um dann vielleicht wieder eine neue, wieder unfertig bleibende Geschichte anzufangen. Diese Bestimmung verfolgt mich."
314,2. Dezember,1914,2. Dezember 1914,"Nachmittag bei Werfel mit Max und Pick. ›In der Strafkolonie‹ vorgelesen, nicht ganz unzufrieden, bis auf die überdeutlichen unverwischbaren Fehler. Werfel [las] Gedichte und zwei Akte aus ›Esther, Kaiserin von Persien‹."
315,5. Dezember,1914,5. Dezember 1914,"Ein Brief von E. über die Lage ihrer Familie. Mein Verhältnis zu der Familie bekommt für mich nur dann einen einheitlichen Sinn, wenn ich mich als das Verderben der Familie auffasse."
316,8. Dezember,1914,8. Dezember 1914,Gestern zum erstenmal seit längerer Zeit in zweifelloser Fähigkeit zu guter Arbeit.
317,9. Dezember,1914,9. Dezember 1914,Mit E. K. aus Chikago beisammen. Er ist fast rührend. Beschreibung seines ruhigen Lebens. Von acht bis halb sechs im Wartehaus. Durchsicht der Versendungen in der Wirkwarenabteilung. Fünfzehn Dollars wöchentlich.
318,13. Dezember,1914,13. Dezember 1914,Statt zu arbeiten – ich habe nur eine Seite geschrieben (Exegese der Legende) – in fertigen Kapiteln gelesen und sie zum Teil gut gefunden.
319,14. Dezember,1914,14. Dezember 1914,"Jämmerliches Vorwärtskriechen der Arbeit, vielleicht an ihrer wichtigsten Stelle, dort, wo eine gute Nacht so notwendig wäre. Bei Baum am Nachmittag. Er gibt einem kleinen bleichen Mädchen mit Brille Klavierstunde."
320,19. Dezember,1914,19. Dezember 1914,Gestern den ›Dorfschullehrer‹Ediert unter dem Titel ›Der Riesenmaulwurf‹.
321,20. Dezember,1914,20. Dezember 1914,"Maxens Einwand gegen Dostojewski, daß er zuviel geistig Kranke auftreten läßt. Vollständig unrichtig. Es sind nicht geistig Kranke. Die Krankheitsbezeichnung ist nichts als ein Charakterisierungsmittel, und zwar ein sehr zartes und sehr ergiebiges."
322,23. Dezember,1914,23. Dezember 1914,"Ein paar Seiten ›Londoner Nebel‹ aus [dem Buch von] Herzen gelesen. Wußte gar nicht, um was es sich handelt, und doch tritt der ganze unbewußte Mensch heraus, entschlossen, selbstquälerisch, sich beherrschend und wieder vergehend."
323,26. Dezember,1914,26. Dezember 1914,"In Kuttenberg mit Max und Frau. Wie habe ich mit den vier freien Tagen gerechnet, wieviel Stunden über ihre richtige Verwendung nachgedacht und mich jetzt doch vielleicht verrechnet."
324,27. Dezember,1914,27. Dezember 1914,"Ein Kaufmann war vom Unglück sehr verfolgt. Er trug es lange, aber schließlich glaubte er es nicht mehr ertragen zu können und ging zu einem Gesetzeskundigen."
325,31. Dezember,1914,31. Dezember 1914,
326,4. Januar,1914,4. Januar 1914,"Großer Lust, eine neue Geschichte anzufangen, nicht nachgegeben. Es ist alles nutzlos. Kann ich die Geschichten nicht durch die Nächte jagen, brechen sie aus und verlaufen sich, so auch jetzt ›Der Unterstaatsanwalt‹."
327,6. Januar,0,6. Januar 0,"›Dorfschullehrer‹ und ›Unterstaatsanwalt‹ vorläufig aufgegeben. Aber auch fast unfähig, den ›Prozeß‹ fortzusetzen."
328,14. April,1915,14. April 1915,"über die »Homer-Stunde«). Hier lernte er einige meiner Schülerinnen und deren Angehörige kennen, darunter das von hier ab öfters erwähnte Fräulein aus Lemberg, Fräulein F. R.(vgl. zum Beispiel"
329,14. Mai,1915,14. Mai 1915,").Versprechungen irgendeines Glückes, ähnlich den Hoffnungen auf ein ewiges Leben. Von einer gewissen Entfernung aus gesehn, halten sie stand, und man wagt sich nicht näher."
330,17. Januar,1915,17. Januar 1915,"Gestern zum erstenmal in der Fabrik Briefe diktiert. Wertlose Arbeit (eine Stunde), aber nicht ohne Befriedigung. Schrecklicher Nachmittag vorher."
331,18. Januar,1915,18. Januar 1915,"In der Fabrik bis halb sieben in gleicher Weise nutzlos gearbeitet, gelesen, diktiert, angehört, geschrieben. Gleiche sinnlose Befriedigung danach. Kopfschmerzen, schlecht geschlafen. Unfähig zu längerer konzentrierter Arbeit. Auch zuwenig im Freien gewesen."
332,19. Januar,1915,19. Januar 1915,"Ich werde, solange ich in die Fabrik gehen muß, nichts schreiben können."
333,20. Januar,1915,20. Januar 1915,Ende des Schreibens. Wann wird es mich wieder aufnehmen? In welchem schlechten Zustand komme ich mit F. zusammen!
334,24. Januar,1915,24. Januar 1915,"Mit F. in Bodenbach. Ich glaube, es ist unmöglich, daß wir uns jemals vereinigen, wage es aber weder ihr noch im entscheidenden Augenblick mir zu sagen. So habe ich sie wieder vertröstet, unsinnigerweise, denn jeder Tag macht mich älter und verknöcherter."
335,29. Januar,1915,29. Januar 1915,"Wieder zu schreiben versucht, fast nutzlos. Letzte zwei Tage bald schlafen gegangen, um zehn Uhr, wie schon seit langer Zeit nicht. Freies Gefühl während des Tages, halbe Zufriedenheit, erhöhte Brauchbarkeit im Bureau, Möglichkeit, mit Menschen zu reden."
336,30. Januar,1915,30. Januar 1915,"Die alte Unfähigkeit. Kaum zehn Tage lang das Schreiben unterbrochen und schon ausgeworfen. Wieder stehn die großen Anstrengungen bevor. Es ist notwendig, förmlich unterzutauchen und schneller zu sinken als das vor einem Versinkende."
337,7. Februar,1915,7. Februar 1915,"Vollständige Stockung. Endlose Quälereien. Bei einem gewissen Stande der Selbsterkenntnis und bei sonstigen für die Beobachtung günstigen Begleitumständen wird es regelmäßig geschehn müssen, daß man sich abscheulich findet."
338,9. Februar,1915,9. Februar 1915,"Gestern und heute ein wenig geschrieben. Hundegeschichte. Jetzt den Anfang gelesen. Es ist häßlich und verursacht Kopfschmerzen. Es ist trotz aller Wahrheit böse, pedantisch, mechanisch auf einer Sandbank ein noch knapp atmender Fisch."
339,10. Februar,1915,10. Februar 1915,"Erster Abend. Der Nachbar unterhält sich stundenlang mit der Wirtin. Beide sprechen leise, die Wirtin fast unhörbar, desto ärger. Das seit zwei Tagen in Gang gekommene Schreiben unterbrochen, wer weiß für wie lange Zeit. Reine Verzweiflung. Ist es so in jeder Wohnung?"
340,14. Februar,1915,14. Februar 1915,"Die unendliche Anziehungskraft Rußlands. Besser als die Troika Gogols erfaßt es das Bild eines großen unübersehbaren Stromes mit gelblichem Wasser, das überall Wellen, aber nicht allzu hohe Wellen wirft. Wüste zerzauste Heide an den Ufern, geknickte Gräser."
341,15. Februar,1915,15. Februar 1915,"Alles stockt. Schlechte, unregelmäßige Zeiteinteilung. Die Wohnung verdirbt mir alles. Heute wieder die Französischstunde der Haustochter angehört."
342,16. Februar,1915,16. Februar 1915,"Finde mich nicht zurecht. Als sei mir alles entlaufen, was ich besessen habe, und als würde es mir kaum genügen, wenn es zurückkäme."
343,22. Februar,1915,22. Februar 1915,Unfähigkeit in jeder Hinsicht und vollständig.
344,25. Februar,1915,25. Februar 1915,Nach tagelangen ununterbrochenen Kopfschmerzen endlich ein wenig freier und zuversichtlicher.
345,1. März,1915,1. März 1915,"Mit großer Mühe nach wochenlanger Vorbereitung und Angst gekündigt, nicht ganz mit Grund, es ist ja ruhig genug, ich habe bloß noch nicht gut gearbeitet und deshalb weder die Ruhe noch die Unruhe genügend ausgeprobt. Gekündigt habe ich vielmehr aus eigener Unruhe."
346,11. März,1915,11. März 1915,"Wie die Zeit hingeht, schon wieder zehn Tage, und ich erreiche nichts. Ich dringe nicht durch. Eine Seite gelingt hie und da, aber ich kann mich nicht halten, am nächsten Tag bin ich machtlos."
347,13. März,1915,13. März 1915,"Ein Abend: Um sechs Uhr auf das Kanapee gelegt. Etwa bis acht Uhr geschlafen. Unfähig gewesen aufzustehn, auf einen Uhrenschlag gewartet und im Dusel alles überhört. Um neun Uhr aufgestanden."
348,14. März,1915,14. März 1915,"Ein Vormittag: bis halb zwölf im Bett. Durcheinander von Gedanken, das sich langsam bildet und in unglaubwürdiger Weise festigt."
349,17. März,1915,17. März 1915,"Von Lärm verfolgt. Ein schönes, viel freundlicheres Zimmer als das in der Bilekgasse. Ich bin von der Aussicht so abhängig, die ist hier schön, die Teinkirche. Aber großer Lärm der Wagen unten, an den ich mich aber schon gewöhne."
350,23. März,1915,23. März 1915,"Unfähig, eine Zeile zu schreiben. Das Wohlbehagen, mit dem ich gestern in den Chotekschen Anlagen und heute auf dem Karlsplatz mit Strindberg ›Am offenen Meer‹ gesessen bin. Das Wohlbehagen heute im Zimmer."
351,25. März,1915,25. März 1915,"Gestern Maxens Vortrag ›Religion und Nation‹. Talmudzitate, Ostjuden. Die Lembergerin. Der Westjude, der sich den Chassidim assimiliert hat, der Wattestöpsel im Ohr. Steidler, ein Sozialist, langes glänzendes, scharf geschnittenes Haar."
352,9. April,1915,9. April 1915,"Qualen der Wohnung. Grenzenlos. Ein paar Abende gut gearbeitet. Hätte ich in den Nächten arbeiten dürfen! Heute durch Lärm am Schlafen, am Arbeiten, an allem gehindert."
353,14. April,1915,14. April 1915,Die Homerstunde der galizischen Mädchen.
354,27. April,1915,27. April 1915,"In Nagy Mihály mit meiner Schwester.Kafka begleitete seine älteste Schwester Elli, die in der Nähe der Front ihren als Reserveoffizier eingerückten Mann besuchte.Unfähig, mit Menschen zu leben, zu reden. Vollständiges Versinken in mich, Denken an mich."
355,3. Mai,1915,3. Mai 1915,"Vollständige Gleichgültigkeit und Stumpfheit. Ein ausgetrockneter Brunnen, Wasser in unerreichbarer Tiefe und dort ungewiß. Nichts, nichts. Verstehe das Leben in ›Entzweit‹ von Strindberg nicht; was er schön nennt, widert mich, in Beziehung zu mir gesetzt, an."
356,4. Mai,1915,4. Mai 1915,"Besserer Zustand, weil ich Strindberg (›Entzweit‹) gelesen habe. Ich lese ihn nicht, um ihn zu lesen, sondern um an seiner Brust zu hegen. Er hält mich wie ein Kind auf seinem Unken Arm. Ich sitze dort wie ein Mensch auf einer Statue."
357,5. Mai,1915,5. Mai 1915,"Nichts, dumpfer, leicht schmerzender Kopf. Nachmittag Choteksche Anlagen, Strindberg gelesen, der mich nährt. Das langbeinige schwarzäugige gelbhäutige kindliche Mädchen, lustig frech und lebhaft. Sieht eine kleine Freundin, die den Hut in der Hand trägt."
358,14. Mai,1915,14. Mai 1915,"Aus aller Regelmäßigkeit des Schreibens gekommen. Viel im Freien. Spaziergang mit Fräulein St. nach Troja, mitFräulein R., ihrer Schwester, Felix, Frau und Ottla nach Dobøichowitz, Èastalice. Wie in einer Folter."
359,27. Mai,1915,27. Mai 1915,Viel Unglück mit der letzten Eintragung. Gehe zugrunde. So sinnlos und unnötig zugrunde zu gehn.
360,13. September,1915,13. September 1915,"Vorabend von Vaters Geburtstag, neues Tagebuch."
361,14. September,1915,14. September 1915,"Mit Max und LangerGeorg Mordechai Langer aus Prag, der jahrelang im Osten das Leben eines »Chassid« zu leben versuchte, später in tschechischer, deutscher, hebräischer Sprache über Kabbala und verwandte Themen schrieb."
362,16. September,1915,16. September 1915,"Anblick der polnischen Juden, die zum Kol Nidre gehn. Der kleine Junge, der, unter beiden Armen Gebetmäntel, neben seinem Vater herläuft. Selbstmörderisch, nicht in den Tempel zu gehn. Bibel aufgeschlagen. Von den ungerechten Richtern."
363,28. September,1915,28. September 1915,Vollständiges Nichtstun. Memoiren des Generals Marcellin de Marbot und Holzhausen ›Leiden der Deutschen 1812‹. Sinnlosigkeit des Klagens. Als Antwort darauf Stiche im Kopf. Ein kleiner Junge lag in der Badewanne.
364,29. September,1915,29. September 1915,Verschiedene nebelhafte Entschlüsse. Die gelingen mir. Zufälliges Erblicken eines damit nicht ganz unzusammenhängenden Bildes in der Ferdinandstraße. Eine schlechte Skizze eines Freskos.
365,30. September,1915,30. September 1915,"Durchgesetzt, daß Felix nicht Max gestört hat. Dann bei Felix."
366,1. Oktober,1915,1. Oktober 1915,III. Band Memoiren des Generals Marcellin de Marbot. Polozk–Beresina–Leipzig–Waterloo.Die nächsten acht Seiten des Manuskripts enthalten Auszüge aus dem genannten Werk.
367,6. Oktober,1915,6. Oktober 1915,"Verschiedene Formen der Nervosität. Ich glaube, Lärm kann mich nicht mehr stören. Allerdings arbeite ich jetzt nicht. Allerdings, je tiefer man sich seine Grube gräbt, desto stiller wird es, je weniger ängstlich man wird, desto stiller wird es."
368,7. Oktober,1915,7. Oktober 1915,"Gestern lange mit Fräulein R. im Vestibül des Hotels. Schlecht geschlafen, Kopfschmerzen. Als Hinkender die Gertigeschreckt, das Schreckliche des Pferdefußes. Gestern in der Naiklasstraße ein gestürztes Pferd mit blutigem Knie."
369,3. November,1915,3. November 1915,"Viel gesehn in der letzten Zeit, weniger Kopfschmerzen. Spaziergänge mit Fräulein R. Mit ihr bei ›Er und seine Schwester‹, von Girardi gespielt. (Haben Sie denn Talent? – Gestatten Sie, daß ich dazwischentrete und für Sie antworte: O ja, ó ja.)"
370,4. November,1915,4. November 1915,"Erinnerung an den Winkel in Brescia, wo ich auf ähnlichem Pflaster, aber am hellen Tag, Kindern Soldi verteilte."
371,5. November,1915,5. November 1915,"Aufregungszustand Nachmittag. Begann mit der Überlegung, ob und wieviel Kriegsanleihe ich mir kaufen sollte. Ging zweimal zum Geschäft hin, um den nötigen Auftrag zu geben und zweimal zurück, ohne eingetreten zu sein. Berechnete fieberhaft die Zinsen."
372,6. November,1915,6. November 1915,"Anblick der Ameisenbewegung des Publikums vor dem SchützengrabenModell eines Schützengrabens, ein dem Publikum zugunsten des Roten Kreuzes zugängliches Schauobjekt in der Nähe von Prag.und in ihm."
373,19. November,1915,19. November 1915,"Nutzlos verbrachte Tage, sich im Warten verbrauchende Kräfte und trotz allem Nichtstun die wehenden und bohrenden Schmerzen im Kopf. Brief an Werfel. Antwort. Bei Frau M.-T., Wehrlosigkeit gegenüber allem. Boshafte Besprechung bei Max."
374,21. November,1915,21. November 1915,"Vollständige Nutzlosigkeit. Sonntag. In der Nacht besondere Schlaflosigkeit. Bis viertel zwölf im Bett beim Sonnenschein. Spaziergang. Mittagessen. Zeitung gelesen, in altenKatalogen geblättert."
375,25. Dezember,1915,25. Dezember 1915,"Eröffnung des Tagebuches zu dem besonderen Zweck, mir Schlaf zu ermöglichen. Sehe aber gerade die zufällige letzte Eintragung und könnte tausend Eintragungen gleichen Inhalts aus den letzten drei bis vier Jahren mir vorstellen."
376,19. April,1915,19. April 1915,"Er wollte die Tür zum Gang öffnen, aber sie widerstand. Er blickte hinauf, hinunter, das Hindernis war nicht zu finden. Auch versperrt war die Tür nicht, der Schlüssel steckte innen, hätte man von außen zuzusperren versucht, wäre der Schlüssel herausgestoßen worden."
377,20. April,0,20. April 0,"Auf dem Gang kam ihm die Hauswirtin mit einem Brief entgegen. Er prüfte das Gesicht der alten Dame, nicht den Brief, und öffnete ihn unterdessen. Dann las er: »Sehr geehrter Herr. Seit einigen Tagen wohnen Sie mir gegenüber."
378,11. Mai,1916,11. Mai 1916,"Also Brief dem Direktor übergeben. Vorgestern. Bat entweder, falls Krieg im Herbst zu Ende ist, um langen Urlaub für später, und zwar ohne Gehalt, oder, falls der Krieg weitergeht, um Aufhebung der Reklamation. Das war eine ganze Lüge."
379,2. Juni,1916,2. Juni 1916,"Was für Verirrungen mit Mädchen trotz aller Kopfschmerzen, Schlaflosigkeit, Grauhaarigkeit, Verzweiflung. Ich zähle: es sind seit dem Sommer mindestens sechs."
380,19. Juni,1916,19. Juni 1916,"Alles vergessen. Fenster öffnen. Das Zimmer leeren. Der Wind durchbläst es. Man sieht nur die Leere, man sucht in allen Ecken und findet sie nicht. Mit Ottla. Sie von der Englischlehrerin abgeholt."
381,3. Juli,1916,3. Juli 1916,"Erster Tag in Marienbad mit F. Tür an Tür, von beiden Seiten Schlüssel. Drei Häuser stießen aneinander und bildeten einen kleinen Hof. In diesem Hof waren in Schuppen noch zwei Werkstätten untergebracht, und in einer Ecke stand ein hoher Haufen kleiner Kisten."
382,4. Juli,1916,4. Juli 1916,"Eingesperrt in das Viereck eines Lattenzaunes, der nicht mehr Raum ließ als einen Schritt der Länge und Breite nach, erwachte ich. Es gibt ähnliche Hürden, in die Schafe des Nachts gepfercht werden, aber so eng sind sie nicht."
383,5. Juli,1916,5. Juli 1916,"Mühsal des Zusammenlebens. Erzwungen von Fremdheit, Mitleid, Wollust, Feigheit, Eitelkeit und nur im tiefen Grunde vielleicht ein dünnes Bächlein, würdig, Liebe genannt zu werden, unzugänglich dem Suchen, aufblitzend einmal im Augenblick eines Augenblicks. Arme F."
384,6. Juli,1916,6. Juli 1916,"Unglückliche Nacht. Unmöglichkeit, mit F. zu leben. Unerträglichkeit des Zusammenlebens mit irgend jemandem. Nicht Bedauern dessen; Bedauern der Unmöglichkeit, nicht allein zu sein. Weiter aber: Unsinnigkeit des Bedauerns, Sichfügen und endlich Verstehn."
385,13. Juli,1916,13. Juli 1916,"Also öffne dich. Der Mensch komme hervor. Atme die Luft und die Stille. Es war eine Kaffeewirtschaft in einem Heilbad. Der Nachmittag war regnerisch gewesen, kein Gast war erschienen."
386,14. Juli,1916,14. Juli 1916,"Isaak verleugnet seine Frau vor Abimelech, wie schon früher Abraham die seine. Verwirrung mit den Brunnen in Gerar. Wiederholung eines Verses. Die Sünden Jakobs. Prädestination Esaus."
387,15. Juli,1916,15. Juli 1916,"Er suchte Hilfe in den Wäldern, er sprang fast durch die Vorberge, er eilte zu den Quellen der ihm begegnenden Bäche, er schlug die Luft mit den Händen, er schnaufte durch Nase und Mund."
388,19. Juli,1916,19. Juli 1916,"Träume und weine, armes Geschlecht,findest den Weg nicht, hast ihn verloren.Wehe! ist dein Gruß am Abend, Wehe! am Morgen. Ich will nichts, nur mich entreißenHänden der Tiefe, die sich strecken,mich Ohnmächtigen hinabzunehmen.Schwer fall' ich in die bereiten Hände."
389,20. Juli,1916,20. Juli 1916,"Aus einem Kamin der Nachbarschaft tauchte ein kleiner Vogel, hielt sich am Kaminrand fest, sah sich in der Gegend um, erhob sich und flog. Kein gewöhnlicher Vogel, der aus dem Kamin auffliegt."
390,21 Juli,1916,21 Juli 1916,"Sie riefen. Es war schön. Wir standen auf, die verschiedensten Leute, versammelten uns vor dem Haus. Die Straße war still, wie an jedem frühen Morgen. Ein Bäckerjunge setzte seinen Korb nieder und sah uns zu."
391,22. Juli,1916,22. Juli 1916,"Sonderbarer Gerichtsgebrauch. Der Verurteilte wird in seiner Zelle vom Scharfrichter erstochen, ohne daß andere Personen zugegen sein dürfen. Er sitzt am Tisch und beendet seinen Brief oder seine letzte Mahlzeit. Es klopft, es ist der Scharfrichter."
392,21. August,1916,21. August 1916,Zur Sammlung. »Alle schönen Worte vom Hinauswachsen über die Natur erweisen sich als wirkungslos gegenüber den Urmächten des Lebens.« (Aufsätze gegen Monogamie.)
393,27. August,1916,27. August 1916,"Schlußansicht nach zwei schauerlichen Tagen und Nächten: Danke deinem Beamtenlaster der Schwäche, Sparsamkeit, Unschlüssigkeit, Berechnungskunst, Vorsorge usw., daß du die Karte an F. nicht weggeschickt hast."
