,Datum,Result
269,11. Juni,"['Ich kam einmal im Sommer gegen Abend in ein Dorf, in dem ich noch nie gewesen war.', 'Mir fiel auf, wie breit und frei die Wege waren.', 'Überall vor den Bauernhöfen sah man hohe alte Bäume.', 'Es war nach einem Regen, die Luft ging frisch, mir gefiel alles so gut.']"
270,12. Juni,"['Kubin.', 'Gelbliches Gesicht, flach über den Schädel gelagertes weniges Haar, von Zeit zu Zeit angestachelter Glanz in den Augen.', 'Wolfskehl, halb blind, Netzhautablösung, muß sich vor Fall oder Stoß hüten, sonst kann die Linse herausfallen, dann ist alles zu Ende.']"
271,14. Juni,"['Mein ruhiger Gang, während es um den Kopf zuckt und ein über den Kopf schwach schleifender Ast mir das ärgste Unbehagen macht.', 'Ich habe die Ruhe, ich habe die Sicherheit anderer Menschen in mir, aber irgendwie am verkehrten Ende.']"
272,19. Juni,"['Die Aufregungen der letzten Tage.', 'Die Ruhe, die von Dr. W. auf mich übergeht.', 'Die Sorgen, die er für mich trägt.', 'Wie sie heute früh, als ich um vier Uhr nach festem Schlafe aufwachte, in mich übersiedelten.', 'Pištĕkovo divadlo.Name eines Theaters in einer Vorstadt Prags.Löwenstein.']"
273,25. Juni,"['Vom frühen Morgen an bis jetzt zur Dämmerung ging ich in meinem Zimmer auf und ab.', 'Das Fenster war offen, es war ein warmer Tag.', 'Der Lärm der engen Gasse trieb ununterbrochen herein.', 'Ich kannte schon jede Kleinigkeit im Zimmer durch das Anschauen während meines Rundganges.']"
274,30. Juni,"['Hellerau.', 'Leipzig mit Pick.', 'Ich habe mich schrecklich aufgeführt.', 'Konnte nicht fragen, nicht antworten, nicht mich bewegen, knapp noch in die Augen sehn.']"
275,1.Juli,['Zu müde.']
276,5. Juli,['Solche Leiden tragen müssen und verursachen!']
277,23. Juli,"['Der Gerichtshof im Hotel.', 'Die Fahrt in der Droschke.', 'Das Gesicht F.s.', 'Sie fährt mit den Händen in die Haare, gähnt.', 'Rafft sich plötzlich auf und sagt gut Durchdachtes, lange Bewahrtes, Feindseliges.']"
278,27. Juli,"['Nächsten Tag zu den Eltern nicht mehr gegangen.', 'Nur Radler mit Abschiedsbrief geschickt.', 'Brief unehrlich und kokett.', '»Behaltet mich nicht in schlechtem Angedenken.« Ansprache vom Richtplatz.', 'Zweimal in der Schwimmschule am Stralauer Ufer gewesen.', 'Viele Juden.']"
279,28. Juli,"['Verzweifelter erster Eindruck der Einöde, des elenden Hauses, des schlechten Essens ohne Obst und Gemüse, der Streitigkeiten zwischen W. und H. Entschluß, nächsten Tag wegzufahren.', 'Kündigung.', 'Bleibe doch.']"
280,29. Juli,[]
281,30. Juli,"['Ich hatte, müde des Dienens in fremden Geschäften, ein eigenes kleines Papiergeschäft eröffnet.', 'Da meine Mittel nur klein waren und ich fast alles bar bezahlen mußte... [bricht ab]  Ich suchte Rat, ich war nicht eigensinnig.']"
282,16. Februar 1914,"[') sindzweiQuartheften entnommen, in die Kafka seine Notizen alternierend, ohne pedantische Ordnung einschrieb.', 'Der Herausgeber hat die Reihenfolge nach den Angaben des Datums bestimmt, unter denen die einzelnen Absätze eingetragen sind.']"
283,31. Juli,"['die mit den Worten beginnt: »Ich habe keine Zeit«, in dem einen der beiden Hefte unmittelbar an die Eintragung vom']"
284,29. Juli,"['an, die mit den Worten schließt: »... habe ich Zeit.« Dem Datum (und auch der noch vergleichsweise ruhigen Stimmung) gemäß mußten die Eintragungen vom']"
285,30. Juli,['aus dem anderen Heft hier zwischengeschoben werden – daher sei hier anmerkungsweise auf den Zusammenhang der Notizen vom']
286,29. Juni,['und']
287,31. Juli,['hingewiesen.']
288,31. Juli,"['Ich habe keine Zeit.', 'Es ist allgemeine Mobilisierung.', 'K. und P. sind einberufen.', 'Jetzt bekomme ich den Lohn des Alleinseins.', 'Es ist allerdings kaum ein Lohn, Alleinsein bringt nur Strafen.', 'Immerhin, ich bin wenig berührt von allem Elend und entschlossener als jemals.']"
289,1. August,"['K. zur Bahn begleitet.', 'Im Bureau die Verwandten rund herum.', 'Lust zu Valli zu fahren.']"
290,2. August,"['Deutschland hat Rußland den Krieg erklärt.', '– Nachmittag Schwimmschule.']"
291,3. August,"['Allein in der Wohnung meiner Schwester.', 'Sie liegt tiefer als mein Zimmer, es ist auch eine abseits gelegene Gasse, daher lautes Gerede der Nachbarn unten vor den Türen.', 'Auch Pfeifen.', 'Sonst vollendete Einsamkeit.', 'Keine ersehnte Ehefrau öffnet die Tür.']"
292,4. August,"['Ich habe dem Hausherrn, als ich die Wohnung für mich mietete, wahrscheinlich ein Schriftstück unterschrieben, in dem ich mich zu einer zweijährigen oder gar sechsjährigen Miete verpflichtet habe.', 'Jetzt stellt er die Forderung aus diesem Vertrag.']"
293,6. August,"['Die Artillerie, die über den Graben zog.', 'Blumen, Heil- und Nazdarrufe.Tschechisch: Hochrufe.Das krampfhaft stille, erstaunte, aufmerksame schwarze und schwarzäugige Gesicht.', 'Ich bin zerrüttet, statt erholt.']"
294,7. August,"['Man behandelt, selbst wenn man nicht die geringste sichtbare Fähigkeit zu individualisieren hat, doch jeden nach seiner Art.', '»L.', 'aus Binz« streckt mir, um auf sich aufmerksam zu machen, den Stock entgegen und erschreckt mich.']"
295,11. August,"['Vorstellung, daß ich in Paris geblieben bin, Arm in Arm mit dem Onkel, eng an ihn gedrückt durch Paris gehe.']"
296,12. August,"['Gar nicht geschlafen.', 'Nachmittag drei Stunden schlaflos und dumpf auf dem Kanapee gelegen, in der Nacht ähnlich.', 'Es darf mich aber nicht hindern.']"
297,15. August,"['Ich schreibe seit ein paar Tagen, möchte es sich halten.Kafka begann damals den ›Prozeß‹-Roman.']"
298,21. August,"['Mit solchen Hoffnungen angefangen und von allen drei Geschichten zurückgeworfen, heute am stärksten.', 'Vielleicht ist es richtig, daß die russische Geschichte nur immer nach dem ›Prozeß‹ gearbeitet werden durfte.']"
299,29. August,"['Schluß eines Kapitels mißlungen, ein anderes schön begonnenes Kapitel werde ich kaum, oder vielmehr ganz bestimmt nicht so schön, weiterführen können, während es mir damals in der Nacht sicher gelungen wäre.', 'Ich darf mich aber nicht verlassen, ich bin ganz allein.']"
300,30. August,"['Kalt und leer.', 'Ich fühle allzusehr die Grenzen meiner Fähigkeit, die, wenn ich nicht vollständig ergriffen bin, zweifellos nur eng gezogen sind.']"
301,1. September,"['In gänzlicher Hilflosigkeit kaum zwei Seiten geschrieben.', 'Ich bin heute sehr stark zurückgewichen, trotzdem ich gut geschlafen hatte.']"
302,13. September,"['Wieder kaum zwei Seiten.', 'Zuerst dachte ich, die Traurigkeit über die österreichischen Niederlagen und die Angst vor der Zukunft (eine Angst, die mir im Grunde lächerlich und zugleich infam vorkommt) werden mich überhaupt am Schreiben hindern.']"
303,7. Oktober,"['Ich habe mir eine Woche Urlaub genommen, um den Roman vorwärtszutreiben.', 'Es ist bis heute – heute ist Mittwochnacht, Montag geht mein Urlaub zu Ende – mißlungen.', 'Ich habe wenig und schwächlich geschrieben.']"
304,15. Oktober,"['Vierzehn Tage gute Arbeit, zum Teil vollständiges Begreifen meiner Lage.', '– Heute Donnerstag (Montag ist mein Urlaub zu Ende, ich habe noch eine weitere Woche Urlaub genommen) Brief von Fräulein Bl.']"
305,25. Oktober,"['auf der Rückseite dieses Blattes steht.......ter Tag des Urlaubs.', 'Halb drei nachts, fast nichts .........tel gelesen und schlecht gefunden.', 'Zweierlei ...........mißlungen.', 'Vor mir liegt das Bureau und ..........der zugrunde gehenden Fabrik.', 'Ich bin aber ..........ohne Fassung.']"
306,21. Oktober,"['Seit vier Tagen fast nichts gearbeitet, immer nur eine Stunde und nur ein paar Zeilen, aber besser geschlafen, Kopfschmerzen dadurch fast verloren.', 'Keine Antwort von Bl., morgen ist die letzte Möglichkeit.']"
307,25. Oktober,"['Fast vollständiges Stocken der Arbeit.', 'Das, was geschrieben wird, scheint nichts Selbständiges, sondern der Widerschein guter früherer Arbeit.', 'Antwort von Bl.', 'ist gekommen, ich wegen der Beantwortung vollständig unentschieden.']"
308,1. November,"['Gestern nach langer Zeit ein gutes Stück vorwärtsgekommen, heute wieder fast nichts, die vierzehn Tage seit meinem Urlaub sind fast gänzlich verloren.', 'Heute teilweise schöner Sonntag.', 'In den Chotekschen Anlagen Dostojewskis Verteidigungsschrift gelesen.']"
309,3. November,[]
310,4. November,"['P. zurück.Schreiend, aufgeregt, außer Rand und Band.', 'Geschichte vom Maulwurf, der im Schützengraben unter ihm bohrte und den er für ein göttliches Zeichen ansah, von dort wegzurücken.']"
311,12. November,"['Die Eltern, die Dankbarkeit von ihren Kindern erwarten (es gibt sogar solche, die sie fordern), sind wie Wucherer, sie riskieren gern das Kapital, wenn sie nur die Zinsen bekommen.']"
312,24. November,"['Gestern in der Tuchmachergasse, wo die alte Wäsche und Kleidung an die galizischen Flüchtlinge verteilt wird.']"
313,25. November,"['Leere Verzweiflung, unmöglich sich aufzustellen, erst bei der Zufriedenheit mit dem Leiden kann ich haltmachen.']"
314,30. November,"['Ich kann nicht mehr weiterschreiben.', 'Ich bin an der endgültigen Grenze, vor der ich vielleicht wieder jahrelang sitzen soll, um dann vielleicht wieder eine neue, wieder unfertig bleibende Geschichte anzufangen.', 'Diese Bestimmung verfolgt mich.']"
315,2. Dezember,"['Nachmittag bei Werfel mit Max und Pick.', '›In der Strafkolonie‹ vorgelesen, nicht ganz unzufrieden, bis auf die überdeutlichen unverwischbaren Fehler.', 'Werfel [las] Gedichte und zwei Akte aus ›Esther, Kaiserin von Persien‹.', 'Die Akte fortreißend.Ich lasse mich aber leicht verwirren.']"
316,5. Dezember,"['Ein Brief von E. über die Lage ihrer Familie.', 'Mein Verhältnis zu der Familie bekommt für mich nur dann einen einheitlichen Sinn, wenn ich mich als das Verderben der Familie auffasse.', 'Es ist die einzige organische, alles Erstaunliche glatt überwindende Erklärung, die es gibt.']"
317,8. Dezember,['Gestern zum erstenmal seit längerer Zeit in zweifelloser Fähigkeit zu guter Arbeit.']
318,9. Dezember,"['Mit E. K. aus Chikago beisammen.', 'Er ist fast rührend.', 'Beschreibung seines ruhigen Lebens.', 'Von acht bis halb sechs im Wartehaus.', 'Durchsicht der Versendungen in der Wirkwarenabteilung.', 'Fünfzehn Dollars wöchentlich.']"
319,13. Dezember,['Statt zu arbeiten – ich habe nur eine Seite geschrieben (Exegese der Legende) – in fertigen Kapiteln gelesen und sie zum Teil gut gefunden.']
320,14. Dezember,"['Jämmerliches Vorwärtskriechen der Arbeit, vielleicht an ihrer wichtigsten Stelle, dort, wo eine gute Nacht so notwendig wäre.', 'Bei Baum am Nachmittag.', 'Er gibt einem kleinen bleichen Mädchen mit Brille Klavierstunde.']"
321,19. Dezember,['Gestern den ›Dorfschullehrer‹Ediert unter dem Titel ›Der Riesenmaulwurf‹.']
322,20. Dezember,"['Maxens Einwand gegen Dostojewski, daß er zuviel geistig Kranke auftreten läßt.', 'Vollständig unrichtig.', 'Es sind nicht geistig Kranke.', 'Die Krankheitsbezeichnung ist nichts als ein Charakterisierungsmittel, und zwar ein sehr zartes und sehr ergiebiges.']"
323,23. Dezember,"['Ein paar Seiten ›Londoner Nebel‹ aus [dem Buch von] Herzen gelesen.', 'Wußte gar nicht, um was es sich handelt, und doch tritt der ganze unbewußte Mensch heraus, entschlossen, selbstquälerisch, sich beherrschend und wieder vergehend.']"
324,26. Dezember,"['In Kuttenberg mit Max und Frau.', 'Wie habe ich mit den vier freien Tagen gerechnet, wieviel Stunden über ihre richtige Verwendung nachgedacht und mich jetzt doch vielleicht verrechnet.']"
325,27. Dezember,"['Ein Kaufmann war vom Unglück sehr verfolgt.', 'Er trug es lange, aber schließlich glaubte er es nicht mehr ertragen zu können und ging zu einem Gesetzeskundigen.']"
326,31. Dezember,[]
327,4. Januar,"['Großer Lust, eine neue Geschichte anzufangen, nicht nachgegeben.', 'Es ist alles nutzlos.', 'Kann ich die Geschichten nicht durch die Nächte jagen, brechen sie aus und verlaufen sich, so auch jetzt ›Der Unterstaatsanwalt‹.']"
328,6. Januar,"['›Dorfschullehrer‹ und ›Unterstaatsanwalt‹ vorläufig aufgegeben.', 'Aber auch fast unfähig, den ›Prozeß‹ fortzusetzen.']"
329,14. April,"['über die »Homer-Stunde«).', 'Hier lernte er einige meiner Schülerinnen und deren Angehörige kennen, darunter das von hier ab öfters erwähnte Fräulein aus Lemberg, Fräulein F.', 'R.(vgl.', 'zum Beispiel']"
330,14. Mai,"[').Versprechungen irgendeines Glückes, ähnlich den Hoffnungen auf ein ewiges Leben.', 'Von einer gewissen Entfernung aus gesehn, halten sie stand, und man wagt sich nicht näher.']"
331,17. Januar,"['Gestern zum erstenmal in der Fabrik Briefe diktiert.', 'Wertlose Arbeit (eine Stunde), aber nicht ohne Befriedigung.', 'Schrecklicher Nachmittag vorher.']"
332,18. Januar,"['In der Fabrik bis halb sieben in gleicher Weise nutzlos gearbeitet, gelesen, diktiert, angehört, geschrieben.', 'Gleiche sinnlose Befriedigung danach.', 'Kopfschmerzen, schlecht geschlafen.', 'Unfähig zu längerer konzentrierter Arbeit.', 'Auch zuwenig im Freien gewesen.']"
333,19. Januar,"['Ich werde, solange ich in die Fabrik gehen muß, nichts schreiben können.']"
334,20. Januar,"['Ende des Schreibens.', 'Wann wird es mich wieder aufnehmen?', 'In welchem schlechten Zustand komme ich mit F. zusammen!']"
335,24. Januar,"['Mit F. in Bodenbach.', 'Ich glaube, es ist unmöglich, daß wir uns jemals vereinigen, wage es aber weder ihr noch im entscheidenden Augenblick mir zu sagen.', 'So habe ich sie wieder vertröstet, unsinnigerweise, denn jeder Tag macht mich älter und verknöcherter.']"
336,29. Januar,"['Wieder zu schreiben versucht, fast nutzlos.', 'Letzte zwei Tage bald schlafen gegangen, um zehn Uhr, wie schon seit langer Zeit nicht.', 'Freies Gefühl während des Tages, halbe Zufriedenheit, erhöhte Brauchbarkeit im Bureau, Möglichkeit, mit Menschen zu reden.']"
337,30. Januar,"['Die alte Unfähigkeit.', 'Kaum zehn Tage lang das Schreiben unterbrochen und schon ausgeworfen.', 'Wieder stehn die großen Anstrengungen bevor.', 'Es ist notwendig, förmlich unterzutauchen und schneller zu sinken als das vor einem Versinkende.']"
338,7. Februar,"['Vollständige Stockung.', 'Endlose Quälereien.', 'Bei einem gewissen Stande der Selbsterkenntnis und bei sonstigen für die Beobachtung günstigen Begleitumständen wird es regelmäßig geschehn müssen, daß man sich abscheulich findet.']"
339,9. Februar,"['Gestern und heute ein wenig geschrieben.', 'Hundegeschichte.', 'Jetzt den Anfang gelesen.', 'Es ist häßlich und verursacht Kopfschmerzen.', 'Es ist trotz aller Wahrheit böse, pedantisch, mechanisch auf einer Sandbank ein noch knapp atmender Fisch.']"
340,10. Februar,"['Erster Abend.', 'Der Nachbar unterhält sich stundenlang mit der Wirtin.', 'Beide sprechen leise, die Wirtin fast unhörbar, desto ärger.', 'Das seit zwei Tagen in Gang gekommene Schreiben unterbrochen, wer weiß für wie lange Zeit.', 'Reine Verzweiflung.', 'Ist es so in jeder Wohnung?']"
341,14. Februar,"['Die unendliche Anziehungskraft Rußlands.', 'Besser als die Troika Gogols erfaßt es das Bild eines großen unübersehbaren Stromes mit gelblichem Wasser, das überall Wellen, aber nicht allzu hohe Wellen wirft.', 'Wüste zerzauste Heide an den Ufern, geknickte Gräser.']"
342,15. Februar,"['Alles stockt.', 'Schlechte, unregelmäßige Zeiteinteilung.', 'Die Wohnung verdirbt mir alles.', 'Heute wieder die Französischstunde der Haustochter angehört.']"
343,16. Februar,"['Finde mich nicht zurecht.', 'Als sei mir alles entlaufen, was ich besessen habe, und als würde es mir kaum genügen, wenn es zurückkäme.']"
344,22. Februar,['Unfähigkeit in jeder Hinsicht und vollständig.']
345,25. Februar,['Nach tagelangen ununterbrochenen Kopfschmerzen endlich ein wenig freier und zuversichtlicher.']
346,1. März,"['Mit großer Mühe nach wochenlanger Vorbereitung und Angst gekündigt, nicht ganz mit Grund, es ist ja ruhig genug, ich habe bloß noch nicht gut gearbeitet und deshalb weder die Ruhe noch die Unruhe genügend ausgeprobt.', 'Gekündigt habe ich vielmehr aus eigener Unruhe.']"
347,11. März,"['Wie die Zeit hingeht, schon wieder zehn Tage, und ich erreiche nichts.', 'Ich dringe nicht durch.', 'Eine Seite gelingt hie und da, aber ich kann mich nicht halten, am nächsten Tag bin ich machtlos.']"
348,13. März,"['Ein Abend: Um sechs Uhr auf das Kanapee gelegt.', 'Etwa bis acht Uhr geschlafen.', 'Unfähig gewesen aufzustehn, auf einen Uhrenschlag gewartet und im Dusel alles überhört.', 'Um neun Uhr aufgestanden.']"
349,14. März,"['Ein Vormittag: bis halb zwölf im Bett.', 'Durcheinander von Gedanken, das sich langsam bildet und in unglaubwürdiger Weise festigt.', 'Nachmittag gelesen (Gogol, Aufsatz über Lyrik), Abend Spaziergang zum Teil mit den haltbaren, aber nicht vertrauenswürdigen Gedanken vom Vormittag.']"
350,17. März,"['Von Lärm verfolgt.', 'Ein schönes, viel freundlicheres Zimmer als das in der Bilekgasse.', 'Ich bin von der Aussicht so abhängig, die ist hier schön, die Teinkirche.', 'Aber großer Lärm der Wagen unten, an den ich mich aber schon gewöhne.']"
351,23. März,"['Unfähig, eine Zeile zu schreiben.', 'Das Wohlbehagen, mit dem ich gestern in den Chotekschen Anlagen und heute auf dem Karlsplatz mit Strindberg ›Am offenen Meer‹ gesessen bin.', 'Das Wohlbehagen heute im Zimmer.']"
352,25. März,"['Gestern Maxens Vortrag ›Religion und Nation‹.', 'Talmudzitate, Ostjuden.', 'Die Lembergerin.', 'Der Westjude, der sich den Chassidim assimiliert hat, der Wattestöpsel im Ohr.', 'Steidler, ein Sozialist, langes glänzendes, scharf geschnittenes Haar.']"
353,9. April,"['Qualen der Wohnung.', 'Grenzenlos.', 'Ein paar Abende gut gearbeitet.', 'Hätte ich in den Nächten arbeiten dürfen!', 'Heute durch Lärm am Schlafen, am Arbeiten, an allem gehindert.']"
354,14. April,"['Die Homerstunde der galizischen Mädchen.', 'Die in der grünen Bluse, scharfes strenges Gesicht; wenn sie sich meldet, hebt sie den Arm rechtwinklig; hastige Bewegungen beim Anziehn; wenn sie sich meldet und nicht aufgerufen wird, schämt sie sich und wendet das Gesicht zur Seite.']"
355,27. April,"['In Nagy Mihály mit meiner Schwester.Kafka begleitete seine älteste Schwester Elli, die in der Nähe der Front ihren als Reserveoffizier eingerückten Mann besuchte.Unfähig, mit Menschen zu leben, zu reden.', 'Vollständiges Versinken in mich, Denken an mich.']"
356,3. Mai,"['Vollständige Gleichgültigkeit und Stumpfheit.', 'Ein ausgetrockneter Brunnen, Wasser in unerreichbarer Tiefe und dort ungewiß.', 'Nichts, nichts.', 'Verstehe das Leben in ›Entzweit‹ von Strindberg nicht; was er schön nennt, widert mich, in Beziehung zu mir gesetzt, an.']"
357,4. Mai,"['Besserer Zustand, weil ich Strindberg (›Entzweit‹) gelesen habe.', 'Ich lese ihn nicht, um ihn zu lesen, sondern um an seiner Brust zu hegen.', 'Er hält mich wie ein Kind auf seinem Unken Arm.', 'Ich sitze dort wie ein Mensch auf einer Statue.']"
358,5. Mai,"['Nichts, dumpfer, leicht schmerzender Kopf.', 'Nachmittag Choteksche Anlagen, Strindberg gelesen, der mich nährt.', 'Das langbeinige schwarzäugige gelbhäutige kindliche Mädchen, lustig frech und lebhaft.', 'Sieht eine kleine Freundin, die den Hut in der Hand trägt.']"
359,14. Mai,"['Aus aller Regelmäßigkeit des Schreibens gekommen.', 'Viel im Freien.', 'Spaziergang mit Fräulein St. nach Troja, mitFräulein R., ihrer Schwester, Felix, Frau und Ottla nach Dobøichowitz, Èastalice.', 'Wie in einer Folter.']"
360,27. Mai,"['Viel Unglück mit der letzten Eintragung.', 'Gehe zugrunde.', 'So sinnlos und unnötig zugrunde zu gehn.']"
361,13. September,"['Vorabend von Vaters Geburtstag, neues Tagebuch.']"
362,14. September,"['Mit Max und LangerGeorg Mordechai Langer aus Prag, der jahrelang im Osten das Leben eines »Chassid« zu leben versuchte, später in tschechischer, deutscher, hebräischer Sprache über Kabbala und verwandte Themen schrieb.']"
363,16. September,"['Anblick der polnischen Juden, die zum Kol Nidre gehn.', 'Der kleine Junge, der, unter beiden Armen Gebetmäntel, neben seinem Vater herläuft.', 'Selbstmörderisch, nicht in den Tempel zu gehn.', 'Bibel aufgeschlagen.', 'Von den ungerechten Richtern.']"
364,28. September,"['Vollständiges Nichtstun.', 'Memoiren des Generals Marcellin de Marbot und Holzhausen ›Leiden der Deutschen 1812‹.', 'Sinnlosigkeit des Klagens.', 'Als Antwort darauf Stiche im Kopf.', 'Ein kleiner Junge lag in der Badewanne.']"
365,29. September,"['Verschiedene nebelhafte Entschlüsse.', 'Die gelingen mir.', 'Zufälliges Erblicken eines damit nicht ganz unzusammenhängenden Bildes in der Ferdinandstraße.', 'Eine schlechte Skizze eines Freskos.']"
366,30. September,"['Durchgesetzt, daß Felix nicht Max gestört hat.', 'Dann bei Felix.']"
367,1. Oktober,"['III.', 'Band Memoiren des Generals Marcellin de Marbot.', 'Polozk–Beresina–Leipzig–Waterloo.Die nächsten acht Seiten des Manuskripts enthalten Auszüge aus dem genannten Werk.']"
368,6. Oktober,"['Verschiedene Formen der Nervosität.', 'Ich glaube, Lärm kann mich nicht mehr stören.', 'Allerdings arbeite ich jetzt nicht.', 'Allerdings, je tiefer man sich seine Grube gräbt, desto stiller wird es, je weniger ängstlich man wird, desto stiller wird es.']"
369,7. Oktober,"['Gestern lange mit Fräulein R. im Vestibül des Hotels.', 'Schlecht geschlafen, Kopfschmerzen.', 'Als Hinkender die Gertigeschreckt, das Schreckliche des Pferdefußes.', 'Gestern in der Naiklasstraße ein gestürztes Pferd mit blutigem Knie.']"
370,3. November,"['Viel gesehn in der letzten Zeit, weniger Kopfschmerzen.', 'Spaziergänge mit Fräulein R.', 'Mit ihr bei ›Er und seine Schwester‹, von Girardi gespielt.', '(Haben Sie denn Talent?', '– Gestatten Sie, daß ich dazwischentrete und für Sie antworte: O ja, ó ja.)', 'In der städtischen Lesehalle.']"
371,4. November,"['Erinnerung an den Winkel in Brescia, wo ich auf ähnlichem Pflaster, aber am hellen Tag, Kindern Soldi verteilte.']"
372,5. November,"['Aufregungszustand Nachmittag.', 'Begann mit der Überlegung, ob und wieviel Kriegsanleihe ich mir kaufen sollte.', 'Ging zweimal zum Geschäft hin, um den nötigen Auftrag zu geben und zweimal zurück, ohne eingetreten zu sein.', 'Berechnete fieberhaft die Zinsen.']"
373,6. November,"['Anblick der Ameisenbewegung des Publikums vor dem SchützengrabenModell eines Schützengrabens, ein dem Publikum zugunsten des Roten Kreuzes zugängliches Schauobjekt in der Nähe von Prag.und in ihm.']"
374,19. November,"['Nutzlos verbrachte Tage, sich im Warten verbrauchende Kräfte und trotz allem Nichtstun die wehenden und bohrenden Schmerzen im Kopf.', 'Brief an Werfel.', 'Antwort.', 'Bei Frau M.-T., Wehrlosigkeit gegenüber allem.', 'Boshafte Besprechung bei Max.']"
375,21. November,"['Vollständige Nutzlosigkeit.', 'Sonntag.', 'In der Nacht besondere Schlaflosigkeit.', 'Bis viertel zwölf im Bett beim Sonnenschein.', 'Spaziergang.', 'Mittagessen.', 'Zeitung gelesen, in altenKatalogen geblättert.']"
376,25. Dezember,"['Eröffnung des Tagebuches zu dem besonderen Zweck, mir Schlaf zu ermöglichen.', 'Sehe aber gerade die zufällige letzte Eintragung und könnte tausend Eintragungen gleichen Inhalts aus den letzten drei bis vier Jahren mir vorstellen.']"
377,19. April,"['Er wollte die Tür zum Gang öffnen, aber sie widerstand.', 'Er blickte hinauf, hinunter, das Hindernis war nicht zu finden.', 'Auch versperrt war die Tür nicht, der Schlüssel steckte innen, hätte man von außen zuzusperren versucht, wäre der Schlüssel herausgestoßen worden.']"
378,20. April,"['Auf dem Gang kam ihm die Hauswirtin mit einem Brief entgegen.', 'Er prüfte das Gesicht der alten Dame, nicht den Brief, und öffnete ihn unterdessen.', 'Dann las er: »Sehr geehrter Herr.', 'Seit einigen Tagen wohnen Sie mir gegenüber.']"
379,11. Mai,"['Also Brief dem Direktor übergeben.', 'Vorgestern.', 'Bat entweder, falls Krieg im Herbst zu Ende ist, um langen Urlaub für später, und zwar ohne Gehalt, oder, falls der Krieg weitergeht, um Aufhebung der Reklamation.', 'Das war eine ganze Lüge.']"
380,2. Juni,"['Was für Verirrungen mit Mädchen trotz aller Kopfschmerzen, Schlaflosigkeit, Grauhaarigkeit, Verzweiflung.', 'Ich zähle: es sind seit dem Sommer mindestens sechs.']"
381,19. Juni,"['Alles vergessen.', 'Fenster öffnen.', 'Das Zimmer leeren.', 'Der Wind durchbläst es.', 'Man sieht nur die Leere, man sucht in allen Ecken und findet sie nicht.', 'Mit Ottla.', 'Sie von der Englischlehrerin abgeholt.', 'Über den Quai, steinerne Brücke, kurzes Stück Kleinseite, neue Brücke, nach Hause.']"
382,3. Juli,"['Erster Tag in Marienbad mit F. Tür an Tür, von beiden Seiten Schlüssel.', 'Drei Häuser stießen aneinander und bildeten einen kleinen Hof.', 'In diesem Hof waren in Schuppen noch zwei Werkstätten untergebracht, und in einer Ecke stand ein hoher Haufen kleiner Kisten.']"
383,4. Juli,"['Eingesperrt in das Viereck eines Lattenzaunes, der nicht mehr Raum ließ als einen Schritt der Länge und Breite nach, erwachte ich.', 'Es gibt ähnliche Hürden, in die Schafe des Nachts gepfercht werden, aber so eng sind sie nicht.']"
384,5. Juli,"['Mühsal des Zusammenlebens.', 'Erzwungen von Fremdheit, Mitleid, Wollust, Feigheit, Eitelkeit und nur im tiefen Grunde vielleicht ein dünnes Bächlein, würdig, Liebe genannt zu werden, unzugänglich dem Suchen, aufblitzend einmal im Augenblick eines Augenblicks.', 'Arme F.']"
385,6. Juli,"['Unglückliche Nacht.', 'Unmöglichkeit, mit F. zu leben.', 'Unerträglichkeit des Zusammenlebens mit irgend jemandem.', 'Nicht Bedauern dessen; Bedauern der Unmöglichkeit, nicht allein zu sein.', 'Weiter aber: Unsinnigkeit des Bedauerns, Sichfügen und endlich Verstehn.', 'Von der Erde aufstehn.']"
386,13. Juli,"['Also öffne dich.', 'Der Mensch komme hervor.', 'Atme die Luft und die Stille.', 'Es war eine Kaffeewirtschaft in einem Heilbad.', 'Der Nachmittag war regnerisch gewesen, kein Gast war erschienen.']"
387,14. Juli,"['Isaak verleugnet seine Frau vor Abimelech, wie schon früher Abraham die seine.', 'Verwirrung mit den Brunnen in Gerar.', 'Wiederholung eines Verses.', 'Die Sünden Jakobs.', 'Prädestination Esaus.']"
388,15. Juli,"['Er suchte Hilfe in den Wäldern, er sprang fast durch die Vorberge, er eilte zu den Quellen der ihm begegnenden Bäche, er schlug die Luft mit den Händen, er schnaufte durch Nase und Mund.']"
389,19. Juli,"['Träume und weine, armes Geschlecht,findest den Weg nicht, hast ihn verloren.Wehe!', 'ist dein Gruß am Abend, Wehe!', 'am Morgen.', ""Ich will nichts, nur mich entreißenHänden der Tiefe, die sich strecken,mich Ohnmächtigen hinabzunehmen.Schwer fall' ich in die bereiten Hände.""]"
390,20. Juli,"['Aus einem Kamin der Nachbarschaft tauchte ein kleiner Vogel, hielt sich am Kaminrand fest, sah sich in der Gegend um, erhob sich und flog.', 'Kein gewöhnlicher Vogel, der aus dem Kamin auffliegt.']"
391,21 Juli,"['Sie riefen.', 'Es war schön.', 'Wir standen auf, die verschiedensten Leute, versammelten uns vor dem Haus.', 'Die Straße war still, wie an jedem frühen Morgen.', 'Ein Bäckerjunge setzte seinen Korb nieder und sah uns zu.']"
